;Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;0;2023-01-01 05:31:00;2023-01-01 09:38:00;331;578;Machine 01
4;1;0;2023-01-01 01:44:00;2023-01-01 05:18:00;104;318;Machine 01
8;2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;0;87;Machine 01
1;0;1;2023-01-01 09:52:00;2023-01-01 12:02:00;592;722;Machine 02
12;3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;0;65;Machine 02
18;4;2;2023-01-01 07:01:00;2023-01-01 08:41:00;421;521;Machine 02
20;5;0;2023-01-01 01:24:00;2023-01-01 03:49:00;84;229;Machine 02
24;6;0;2023-01-01 04:07:00;2023-01-01 06:44:00;247;404;Machine 02
5;1;1;2023-01-01 08:46:00;2023-01-01 10:13:00;526;613;Machine 03
16;4;0;2023-01-01 00:00:00;2023-01-01 02:25:00;0;145;Machine 03
25;6;1;2023-01-01 10:27:00;2023-01-01 12:31:00;627;751;Machine 03
32;8;0;2023-01-01 02:41:00;2023-01-01 05:11:00;161;311;Machine 03
33;8;1;2023-01-01 05:24:00;2023-01-01 08:24:00;324;504;Machine 03
2;0;2;2023-01-01 12:22:00;2023-01-01 14:52:00;742;892;Machine 04
14;3;2;2023-01-01 04:22:00;2023-01-01 06:47:00;262;407;Machine 04
28;7;0;2023-01-01 00:00:00;2023-01-01 04:05:00;0;245;Machine 04
6;1;2;2023-01-01 12:09:00;2023-01-01 15:07:00;729;907;Machine 05
7;1;3;2023-01-01 15:21:00;2023-01-01 17:21:00;921;1041;Machine 05
13;3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65;238;Machine 05
15;3;3;2023-01-01 07:42:00;2023-01-01 11:52:00;462;712;Machine 05
21;5;1;2023-01-01 04:12:00;2023-01-01 07:24:00;252;444;Machine 05
27;6;3;2023-01-01 17:40:00;2023-01-01 20:00:00;1060;1200;Machine 05
10;2;2;2023-01-01 03:52:00;2023-01-01 06:25:00;232;385;Machine 06
29;7;1;2023-01-01 06:44:00;2023-01-01 10:28:00;404;628;Machine 06
30;7;2;2023-01-01 10:48:00;2023-01-01 13:33:00;648;813;Machine 06
3;0;3;2023-01-01 16:24:00;2023-01-01 19:54:00;984;1194;Machine 07
9;2;1;2023-01-01 01:27:00;2023-01-01 03:52:00;87;232;Machine 07
17;4;1;2023-01-01 04:08:00;2023-01-01 05:34:00;248;334;Machine 07
22;5;2;2023-01-01 07:44:00;2023-01-01 10:44:00;464;644;Machine 07
23;5;3;2023-01-01 10:59:00;2023-01-01 11:49:00;659;709;Machine 07
26;6;2;2023-01-01 13:13:00;2023-01-01 16:11:00;793;971;Machine 07
34;8;2;2023-01-01 12:04:00;2023-01-01 12:54:00;724;774;Machine 07
11;2;3;2023-01-01 06:25:00;2023-01-01 09:10:00;385;550;Machine 08
19;4;3;2023-01-01 09:30:00;2023-01-01 12:15:00;570;735;Machine 08
31;7;3;2023-01-01 16:22:00;2023-01-01 18:52:00;982;1132;Machine 08
35;8;3;2023-01-01 13:14:00;2023-01-01 16:04:00;794;964;Machine 08
