;Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;0;2023-01-01 00:00:00;2023-01-01 02:27:00;0;147;Machine 01
6;2;0;2023-01-01 00:00:00;2023-01-01 01:02:00;0;62;Machine 02
9;3;0;2023-01-01 01:12:00;2023-01-01 02:17:00;72;137;Machine 02
12;4;0;2023-01-01 02:29:00;2023-01-01 04:32:00;149;272;Machine 02
3;1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;0;150;Machine 03
4;1;1;2023-01-01 02:42:00;2023-01-01 04:09:00;162;249;Machine 03
13;4;1;2023-01-01 04:46:00;2023-01-01 06:12:00;286;372;Machine 03
1;0;1;2023-01-01 03:02:00;2023-01-01 05:22:00;182;322;Machine 04
2;0;2;2023-01-01 05:36:00;2023-01-01 08:06:00;336;486;Machine 04
7;2;1;2023-01-01 01:02:00;2023-01-01 02:47:00;62;167;Machine 04
5;1;2;2023-01-01 05:24:00;2023-01-01 08:22:00;324;502;Machine 05
10;3;1;2023-01-01 02:17:00;2023-01-01 05:10:00;137;310;Machine 05
8;2;2;2023-01-01 02:47:00;2023-01-01 05:20:00;167;320;Machine 06
11;3;2;2023-01-01 05:31:00;2023-01-01 07:47:00;331;467;Machine 06
14;4;2;2023-01-01 07:59:00;2023-01-01 09:24:00;479;564;Machine 06
