;Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;0;2023-01-01 01:41:00;2023-01-01 04:08:00;101;248;Machine 01
6;2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;0;87;Machine 01
1;0;1;2023-01-01 04:21:00;2023-01-01 06:31:00;261;391;Machine 02
4;1;1;2023-01-01 02:41:00;2023-01-01 03:47:00;161;227;Machine 02
9;3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;0;65;Machine 02
3;1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;0;150;Machine 03
7;2;1;2023-01-01 02:44:00;2023-01-01 05:44:00;164;344;Machine 03
8;2;2;2023-01-01 06:37:00;2023-01-01 09:47:00;397;587;Machine 04
11;3;2;2023-01-01 03:58:00;2023-01-01 06:23:00;238;383;Machine 04
2;0;2;2023-01-01 07:21:00;2023-01-01 10:01:00;441;601;Machine 05
5;1;2;2023-01-01 04:11:00;2023-01-01 07:09:00;251;429;Machine 05
10;3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65;238;Machine 05
