;Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;0;2023-01-01 02:28:00;2023-01-01 06:35:00;148;395;Machine 01
12;4;0;2023-01-01 00:00:00;2023-01-01 02:08:00;0;128;Machine 01
4;1;1;2023-01-01 05:37:00;2023-01-01 06:43:00;337;403;Machine 02
6;2;0;2023-01-01 00:00:00;2023-01-01 01:02:00;0;62;Machine 02
9;3;0;2023-01-01 01:20:00;2023-01-01 02:25:00;80;145;Machine 02
18;6;0;2023-01-01 02:43:00;2023-01-01 05:20:00;163;320;Machine 02
3;1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;0;150;Machine 03
10;3;1;2023-01-01 02:44:00;2023-01-01 06:54:00;164;414;Machine 03
19;6;1;2023-01-01 07:12:00;2023-01-01 09:16:00;432;556;Machine 03
11;3;2;2023-01-01 07:22:00;2023-01-01 09:47:00;442;587;Machine 04
15;5;0;2023-01-01 00:11:00;2023-01-01 02:45:00;11;165;Machine 04
21;7;0;2023-01-01 02:58:00;2023-01-01 07:03:00;178;423;Machine 04
5;1;2;2023-01-01 08:49:00;2023-01-01 11:47:00;529;707;Machine 05
13;4;1;2023-01-01 02:08:00;2023-01-01 02:55:00;128;175;Machine 05
16;5;1;2023-01-01 03:06:00;2023-01-01 06:18:00;186;378;Machine 05
17;5;2;2023-01-01 06:30:00;2023-01-01 08:30:00;390;510;Machine 05
20;6;2;2023-01-01 12:00:00;2023-01-01 14:25:00;720;865;Machine 05
8;2;2;2023-01-01 04:36:00;2023-01-01 07:09:00;276;429;Machine 06
14;4;2;2023-01-01 02:55:00;2023-01-01 04:20:00;175;260;Machine 06
22;7;1;2023-01-01 07:22:00;2023-01-01 11:06:00;442;666;Machine 06
23;7;2;2023-01-01 11:23:00;2023-01-01 14:08:00;683;848;Machine 06
1;0;1;2023-01-01 06:46:00;2023-01-01 08:49:00;406;529;Machine 07
2;0;2;2023-01-01 09:03:00;2023-01-01 12:23:00;543;743;Machine 07
7;2;1;2023-01-01 01:02:00;2023-01-01 03:27:00;62;207;Machine 07
