Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 2
Job 0;2023-01-01 00:14:00;2023-01-01 00:25:00;Machine 12
Job 0;2023-01-01 00:25:00;2023-01-01 00:42:00;Machine 7
Job 0;2023-01-01 00:42:00;2023-01-01 00:52:00;Machine 14
Job 0;2023-01-01 00:52:00;2023-01-01 01:14:00;Machine 18
Job 1;2023-01-01 00:00:00;2023-01-01 00:10:00;Machine 2
Job 1;2023-01-01 00:10:00;2023-01-01 00:25:00;Machine 6
Job 1;2023-01-01 00:25:00;2023-01-01 00:35:00;Machine 8
Job 1;2023-01-01 00:35:00;2023-01-01 00:46:00;Machine 13
Job 1;2023-01-01 00:46:00;2023-01-01 01:02:00;Machine 19
Job 2;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 2
Job 2;2023-01-01 00:12:00;2023-01-01 00:22:00;Machine 8
Job 2;2023-01-01 00:22:00;2023-01-01 00:39:00;Machine 7
Job 2;2023-01-01 00:39:00;2023-01-01 00:50:00;Machine 12
Job 2;2023-01-01 00:50:00;2023-01-01 01:02:00;Machine 18
Job 3;2023-01-01 00:00:00;2023-01-01 00:10:00;Machine 2
Job 3;2023-01-01 00:10:00;2023-01-01 00:22:00;Machine 5
Job 3;2023-01-01 00:22:00;2023-01-01 00:33:00;Machine 16
Job 3;2023-01-01 00:33:00;2023-01-01 00:44:00;Machine 13
Job 3;2023-01-01 00:44:00;2023-01-01 01:02:00;Machine 17
Job 4;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 1
Job 4;2023-01-01 00:11:00;2023-01-01 00:29:00;Machine 7
Job 4;2023-01-01 00:29:00;2023-01-01 00:40:00;Machine 7
Job 4;2023-01-01 00:40:00;2023-01-01 00:50:00;Machine 9
Job 4;2023-01-01 00:50:00;2023-01-01 01:03:00;Machine 17
Job 5;2023-01-01 00:00:00;2023-01-01 00:16:00;Machine 4
Job 5;2023-01-01 00:16:00;2023-01-01 00:27:00;Machine 12
Job 5;2023-01-01 00:27:00;2023-01-01 00:46:00;Machine 15
Job 5;2023-01-01 00:46:00;2023-01-01 01:00:00;Machine 8
Job 5;2023-01-01 01:00:00;2023-01-01 01:16:00;Machine 17
Job 6;2023-01-01 00:00:00;2023-01-01 00:16:00;Machine 4
Job 6;2023-01-01 00:16:00;2023-01-01 00:28:00;Machine 9
Job 6;2023-01-01 00:28:00;2023-01-01 00:39:00;Machine 8
Job 6;2023-01-01 00:39:00;2023-01-01 00:49:00;Machine 15
Job 6;2023-01-01 00:49:00;2023-01-01 00:59:00;Machine 20
Job 7;2023-01-01 00:00:00;2023-01-01 00:16:00;Machine 2
Job 7;2023-01-01 00:16:00;2023-01-01 00:29:00;Machine 5
Job 7;2023-01-01 00:29:00;2023-01-01 00:44:00;Machine 11
Job 7;2023-01-01 00:44:00;2023-01-01 00:54:00;Machine 5
Job 7;2023-01-01 00:54:00;2023-01-01 01:08:00;Machine 18
Job 8;2023-01-01 00:00:00;2023-01-01 00:25:00;Machine 4
Job 8;2023-01-01 00:25:00;2023-01-01 00:35:00;Machine 6
Job 8;2023-01-01 00:35:00;2023-01-01 00:46:00;Machine 11
Job 8;2023-01-01 00:46:00;2023-01-01 00:56:00;Machine 9
Job 8;2023-01-01 00:56:00;2023-01-01 01:08:00;Machine 17
Job 9;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 1
Job 9;2023-01-01 00:20:00;2023-01-01 00:34:00;Machine 6
Job 9;2023-01-01 00:34:00;2023-01-01 00:46:00;Machine 7
Job 9;2023-01-01 00:46:00;2023-01-01 00:57:00;Machine 10
Job 9;2023-01-01 00:57:00;2023-01-01 01:09:00;Machine 20
