Job;Op;Start;Finish;Resource
4;0;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 1
9;0;2023-01-01 00:11:00;2023-01-01 00:31:00;Machine 1
0;1;2023-01-01 00:23:00;2023-01-01 00:37:00;Machine 10
9;3;2023-01-01 01:01:00;2023-01-01 01:12:00;Machine 10
0;2;2023-01-01 00:37:00;2023-01-01 00:58:00;Machine 11
7;2;2023-01-01 00:58:00;2023-01-01 01:13:00;Machine 11
5;1;2023-01-01 00:16:00;2023-01-01 00:27:00;Machine 12
1;2;2023-01-01 00:27:00;2023-01-01 00:38:00;Machine 12
2;3;2023-01-01 00:49:00;2023-01-01 01:00:00;Machine 12
1;3;2023-01-01 00:38:00;2023-01-01 00:49:00;Machine 13
3;3;2023-01-01 00:55:00;2023-01-01 01:06:00;Machine 13
3;1;2023-01-01 00:32:00;2023-01-01 00:44:00;Machine 14
0;3;2023-01-01 00:58:00;2023-01-01 01:08:00;Machine 14
5;2;2023-01-01 00:27:00;2023-01-01 00:46:00;Machine 15
6;3;2023-01-01 01:17:00;2023-01-01 01:27:00;Machine 15
3;2;2023-01-01 00:44:00;2023-01-01 00:55:00;Machine 16
4;4;2023-01-01 00:54:00;2023-01-01 01:07:00;Machine 17
3;4;2023-01-01 01:07:00;2023-01-01 01:25:00;Machine 17
8;4;2023-01-01 01:25:00;2023-01-01 01:37:00;Machine 17
5;4;2023-01-01 01:00:00;2023-01-01 01:16:00;Machine 18
7;4;2023-01-01 01:23:00;2023-01-01 01:37:00;Machine 18
1;4;2023-01-01 00:49:00;2023-01-01 01:05:00;Machine 19
0;4;2023-01-01 01:08:00;2023-01-01 01:37:00;Machine 19
1;0;2023-01-01 00:00:00;2023-01-01 00:10:00;Machine 2
2;0;2023-01-01 00:10:00;2023-01-01 00:22:00;Machine 2
3;0;2023-01-01 00:22:00;2023-01-01 00:32:00;Machine 2
6;0;2023-01-01 00:32:00;2023-01-01 00:54:00;Machine 2
2;4;2023-01-01 01:00:00;2023-01-01 01:13:00;Machine 20
9;4;2023-01-01 01:13:00;2023-01-01 01:25:00;Machine 20
6;4;2023-01-01 01:27:00;2023-01-01 01:37:00;Machine 20
0;0;2023-01-01 00:00:00;2023-01-01 00:23:00;Machine 3
8;0;2023-01-01 00:23:00;2023-01-01 00:49:00;Machine 3
5;0;2023-01-01 00:00:00;2023-01-01 00:16:00;Machine 4
7;0;2023-01-01 00:16:00;2023-01-01 00:42:00;Machine 4
7;1;2023-01-01 00:42:00;2023-01-01 00:55:00;Machine 5
7;3;2023-01-01 01:13:00;2023-01-01 01:23:00;Machine 5
1;1;2023-01-01 00:10:00;2023-01-01 00:25:00;Machine 6
9;1;2023-01-01 00:31:00;2023-01-01 00:45:00;Machine 6
8;1;2023-01-01 00:49:00;2023-01-01 00:59:00;Machine 6
8;2;2023-01-01 00:59:00;2023-01-01 01:11:00;Machine 6
4;1;2023-01-01 00:11:00;2023-01-01 00:29:00;Machine 7
2;2;2023-01-01 00:32:00;2023-01-01 00:49:00;Machine 7
9;2;2023-01-01 00:49:00;2023-01-01 01:01:00;Machine 7
2;1;2023-01-01 00:22:00;2023-01-01 00:32:00;Machine 8
4;2;2023-01-01 00:32:00;2023-01-01 00:44:00;Machine 8
5;3;2023-01-01 00:46:00;2023-01-01 01:00:00;Machine 8
6;2;2023-01-01 01:06:00;2023-01-01 01:17:00;Machine 8
4;3;2023-01-01 00:44:00;2023-01-01 00:54:00;Machine 9
6;1;2023-01-01 00:54:00;2023-01-01 01:06:00;Machine 9
8;3;2023-01-01 01:11:00;2023-01-01 01:21:00;Machine 9
