Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 01:06:00;Machine 2
Job 0;2023-01-01 01:06:00;2023-01-01 02:31:00;Machine 4
Job 0;2023-01-01 02:31:00;2023-01-01 03:55:00;Machine 3
Job 0;2023-01-01 03:55:00;2023-01-01 04:57:00;Machine 1
Job 0;2023-01-01 04:57:00;2023-01-01 05:16:00;Machine 3
Job 1;2023-01-01 00:00:00;2023-01-01 00:59:00;Machine 4
Job 1;2023-01-01 00:59:00;2023-01-01 02:03:00;Machine 2
Job 1;2023-01-01 02:03:00;2023-01-01 02:49:00;Machine 3
Job 1;2023-01-01 02:49:00;2023-01-01 03:02:00;Machine 5
Job 1;2023-01-01 03:02:00;2023-01-01 03:27:00;Machine 1
Job 10;2023-01-01 00:00:00;2023-01-01 00:49:00;Machine 3
Job 10;2023-01-01 00:49:00;2023-01-01 01:30:00;Machine 4
Job 10;2023-01-01 01:30:00;2023-01-01 02:31:00;Machine 3
Job 10;2023-01-01 02:31:00;2023-01-01 03:37:00;Machine 1
Job 10;2023-01-01 03:37:00;2023-01-01 05:07:00;Machine 2
Job 11;2023-01-01 00:00:00;2023-01-01 00:17:00;Machine 2
Job 11;2023-01-01 00:17:00;2023-01-01 00:40:00;Machine 1
Job 11;2023-01-01 00:40:00;2023-01-01 01:50:00;Machine 4
Job 11;2023-01-01 01:50:00;2023-01-01 03:29:00;Machine 5
Job 11;2023-01-01 03:29:00;2023-01-01 04:18:00;Machine 3
Job 12;2023-01-01 00:00:00;2023-01-01 00:40:00;Machine 5
Job 12;2023-01-01 00:40:00;2023-01-01 01:53:00;Machine 4
Job 12;2023-01-01 01:53:00;2023-01-01 03:06:00;Machine 1
Job 12;2023-01-01 03:06:00;2023-01-01 04:44:00;Machine 2
Job 12;2023-01-01 04:44:00;2023-01-01 05:52:00;Machine 3
Job 13;2023-01-01 00:00:00;2023-01-01 00:57:00;Machine 4
Job 13;2023-01-01 00:57:00;2023-01-01 01:06:00;Machine 2
Job 13;2023-01-01 01:06:00;2023-01-01 01:13:00;Machine 3
Job 13;2023-01-01 01:13:00;2023-01-01 01:26:00;Machine 1
Job 13;2023-01-01 01:26:00;2023-01-01 03:04:00;Machine 5
Job 14;2023-01-01 00:00:00;2023-01-01 00:37:00;Machine 1
Job 14;2023-01-01 00:37:00;2023-01-01 02:02:00;Machine 3
Job 14;2023-01-01 02:02:00;2023-01-01 02:19:00;Machine 3
Job 14;2023-01-01 02:19:00;2023-01-01 03:38:00;Machine 5
Job 14;2023-01-01 03:38:00;2023-01-01 04:19:00;Machine 4
Job 2;2023-01-01 00:00:00;2023-01-01 01:28:00;Machine 5
Job 2;2023-01-01 01:28:00;2023-01-01 02:48:00;Machine 4
Job 2;2023-01-01 02:48:00;2023-01-01 04:01:00;Machine 1
Job 2;2023-01-01 04:01:00;2023-01-01 04:54:00;Machine 3
Job 2;2023-01-01 04:54:00;2023-01-01 05:35:00;Machine 1
Job 3;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 1
Job 3;2023-01-01 00:14:00;2023-01-01 01:21:00;Machine 1
Job 3;2023-01-01 01:21:00;2023-01-01 02:18:00;Machine 3
Job 3;2023-01-01 02:18:00;2023-01-01 03:32:00;Machine 4
Job 3;2023-01-01 03:32:00;2023-01-01 04:19:00;Machine 5
Job 4;2023-01-01 00:00:00;2023-01-01 01:24:00;Machine 1
Job 4;2023-01-01 01:24:00;2023-01-01 02:28:00;Machine 3
Job 4;2023-01-01 02:28:00;2023-01-01 03:09:00;Machine 3
Job 4;2023-01-01 03:09:00;2023-01-01 04:33:00;Machine 4
Job 4;2023-01-01 04:33:00;2023-01-01 05:51:00;Machine 2
Job 5;2023-01-01 00:00:00;2023-01-01 01:03:00;Machine 1
Job 5;2023-01-01 01:03:00;2023-01-01 01:31:00;Machine 4
Job 5;2023-01-01 01:31:00;2023-01-01 02:17:00;Machine 5
Job 5;2023-01-01 02:17:00;2023-01-01 02:43:00;Machine 3
Job 5;2023-01-01 02:43:00;2023-01-01 03:35:00;Machine 5
Job 6;2023-01-01 00:00:00;2023-01-01 00:10:00;Machine 2
Job 6;2023-01-01 00:10:00;2023-01-01 00:27:00;Machine 3
Job 6;2023-01-01 00:27:00;2023-01-01 01:40:00;Machine 5
Job 6;2023-01-01 01:40:00;2023-01-01 01:51:00;Machine 2
Job 6;2023-01-01 01:51:00;2023-01-01 02:55:00;Machine 1
Job 7;2023-01-01 00:00:00;2023-01-01 01:07:00;Machine 3
Job 7;2023-01-01 01:07:00;2023-01-01 02:44:00;Machine 2
Job 7;2023-01-01 02:44:00;2023-01-01 04:19:00;Machine 4
Job 7;2023-01-01 04:19:00;2023-01-01 04:57:00;Machine 5
Job 7;2023-01-01 04:57:00;2023-01-01 06:22:00;Machine 1
Job 8;2023-01-01 00:00:00;2023-01-01 01:35:00;Machine 3
Job 8;2023-01-01 01:35:00;2023-01-01 02:21:00;Machine 5
Job 8;2023-01-01 02:21:00;2023-01-01 03:20:00;Machine 1
Job 8;2023-01-01 03:20:00;2023-01-01 04:25:00;Machine 2
Job 8;2023-01-01 04:25:00;2023-01-01 05:58:00;Machine 4
Job 9;2023-01-01 00:00:00;2023-01-01 00:43:00;Machine 3
Job 9;2023-01-01 00:43:00;2023-01-01 02:08:00;Machine 5
Job 9;2023-01-01 02:08:00;2023-01-01 02:40:00;Machine 4
Job 9;2023-01-01 02:40:00;2023-01-01 04:05:00;Machine 4
Job 9;2023-01-01 04:05:00;2023-01-01 05:05:00;Machine 1
