Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 2
Job 0;2023-01-01 00:02:00;2023-01-01 00:06:00;Machine 3
Job 0;2023-01-01 00:06:00;2023-01-01 00:07:00;Machine 1
Job 0;2023-01-01 00:07:00;2023-01-01 00:13:00;Machine 2
Job 0;2023-01-01 00:13:00;2023-01-01 00:16:00;Machine 6
Job 0;2023-01-01 00:16:00;2023-01-01 00:17:00;Machine 2
Job 1;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 6
Job 1;2023-01-01 00:01:00;2023-01-01 00:04:00;Machine 6
Job 1;2023-01-01 00:04:00;2023-01-01 00:06:00;Machine 5
Job 1;2023-01-01 00:06:00;2023-01-01 00:09:00;Machine 3
Job 1;2023-01-01 00:09:00;2023-01-01 00:10:00;Machine 2
Job 1;2023-01-01 00:10:00;2023-01-01 00:12:00;Machine 2
Job 2;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 1
Job 2;2023-01-01 00:01:00;2023-01-01 00:03:00;Machine 1
Job 2;2023-01-01 00:03:00;2023-01-01 00:04:00;Machine 2
Job 2;2023-01-01 00:04:00;2023-01-01 00:06:00;Machine 5
Job 2;2023-01-01 00:06:00;2023-01-01 00:07:00;Machine 4
Job 2;2023-01-01 00:07:00;2023-01-01 00:10:00;Machine 5
Job 3;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 5
Job 3;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 6
Job 3;2023-01-01 00:03:00;2023-01-01 00:09:00;Machine 2
Job 3;2023-01-01 00:09:00;2023-01-01 00:10:00;Machine 1
Job 3;2023-01-01 00:10:00;2023-01-01 00:13:00;Machine 2
Job 3;2023-01-01 00:13:00;2023-01-01 00:14:00;Machine 4
Job 4;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 1
Job 4;2023-01-01 00:02:00;2023-01-01 00:05:00;Machine 2
Job 4;2023-01-01 00:05:00;2023-01-01 00:08:00;Machine 4
Job 4;2023-01-01 00:08:00;2023-01-01 00:11:00;Machine 6
Job 4;2023-01-01 00:11:00;2023-01-01 00:12:00;Machine 6
Job 4;2023-01-01 00:12:00;2023-01-01 00:15:00;Machine 3
Job 5;2023-01-01 00:00:00;2023-01-01 00:03:00;Machine 6
Job 5;2023-01-01 00:03:00;2023-01-01 00:07:00;Machine 3
Job 5;2023-01-01 00:07:00;2023-01-01 00:09:00;Machine 5
Job 5;2023-01-01 00:09:00;2023-01-01 00:11:00;Machine 1
Job 5;2023-01-01 00:11:00;2023-01-01 00:17:00;Machine 2
Job 5;2023-01-01 00:17:00;2023-01-01 00:18:00;Machine 6
Job 6;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 4
Job 6;2023-01-01 00:01:00;2023-01-01 00:03:00;Machine 5
Job 6;2023-01-01 00:03:00;2023-01-01 00:05:00;Machine 1
Job 6;2023-01-01 00:05:00;2023-01-01 00:07:00;Machine 2
Job 6;2023-01-01 00:07:00;2023-01-01 00:10:00;Machine 6
Job 7;2023-01-01 00:00:00;2023-01-01 00:03:00;Machine 3
Job 7;2023-01-01 00:03:00;2023-01-01 00:05:00;Machine 5
Job 7;2023-01-01 00:05:00;2023-01-01 00:07:00;Machine 1
Job 7;2023-01-01 00:07:00;2023-01-01 00:10:00;Machine 6
Job 7;2023-01-01 00:10:00;2023-01-01 00:13:00;Machine 2
Job 7;2023-01-01 00:13:00;2023-01-01 00:14:00;Machine 6
Job 8;2023-01-01 00:00:00;2023-01-01 00:06:00;Machine 2
Job 8;2023-01-01 00:06:00;2023-01-01 00:10:00;Machine 3
Job 8;2023-01-01 00:10:00;2023-01-01 00:11:00;Machine 6
Job 8;2023-01-01 00:11:00;2023-01-01 00:14:00;Machine 2
Job 8;2023-01-01 00:14:00;2023-01-01 00:17:00;Machine 3
Job 9;2023-01-01 00:00:00;2023-01-01 00:03:00;Machine 4
Job 9;2023-01-01 00:03:00;2023-01-01 00:05:00;Machine 1
Job 9;2023-01-01 00:05:00;2023-01-01 00:08:00;Machine 6
Job 9;2023-01-01 00:08:00;2023-01-01 00:09:00;Machine 4
Job 9;2023-01-01 00:09:00;2023-01-01 00:12:00;Machine 6
Job 9;2023-01-01 00:12:00;2023-01-01 00:13:00;Machine 6
