Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:06:00;Machine 1
Job 0;2023-01-01 00:06:00;2023-01-01 00:12:00;Machine 1
Job 0;2023-01-01 00:12:00;2023-01-01 00:13:00;Machine 3
Job 0;2023-01-01 00:13:00;2023-01-01 00:15:00;Machine 4
Job 0;2023-01-01 00:15:00;2023-01-01 00:23:00;Machine 1
Job 0;2023-01-01 00:23:00;2023-01-01 00:25:00;Machine 3
Job 0;2023-01-01 00:25:00;2023-01-01 00:30:00;Machine 5
Job 0;2023-01-01 00:30:00;2023-01-01 00:31:00;Machine 6
Job 1;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 6
Job 1;2023-01-01 00:01:00;2023-01-01 00:02:00;Machine 6
Job 1;2023-01-01 00:02:00;2023-01-01 00:08:00;Machine 1
Job 1;2023-01-01 00:08:00;2023-01-01 00:09:00;Machine 3
Job 1;2023-01-01 00:09:00;2023-01-01 00:11:00;Machine 3
Job 1;2023-01-01 00:11:00;2023-01-01 00:13:00;Machine 6
Job 1;2023-01-01 00:13:00;2023-01-01 00:15:00;Machine 7
Job 10;2023-01-01 00:00:00;2023-01-01 00:08:00;Machine 1
Job 10;2023-01-01 00:08:00;2023-01-01 00:14:00;Machine 1
Job 10;2023-01-01 00:14:00;2023-01-01 00:16:00;Machine 3
Job 10;2023-01-01 00:16:00;2023-01-01 00:18:00;Machine 4
Job 11;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 4
Job 11;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 6
Job 11;2023-01-01 00:03:00;2023-01-01 00:09:00;Machine 1
Job 11;2023-01-01 00:09:00;2023-01-01 00:16:00;Machine 1
Job 11;2023-01-01 00:16:00;2023-01-01 00:24:00;Machine 1
Job 11;2023-01-01 00:24:00;2023-01-01 00:26:00;Machine 7
Job 12;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 6
Job 12;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 3
Job 12;2023-01-01 00:03:00;2023-01-01 00:04:00;Machine 6
Job 12;2023-01-01 00:04:00;2023-01-01 00:09:00;Machine 5
Job 13;2023-01-01 00:00:00;2023-01-01 00:05:00;Machine 5
Job 13;2023-01-01 00:05:00;2023-01-01 00:06:00;Machine 6
Job 13;2023-01-01 00:06:00;2023-01-01 00:08:00;Machine 4
Job 14;2023-01-01 00:00:00;2023-01-01 00:05:00;Machine 4
Job 14;2023-01-01 00:05:00;2023-01-01 00:07:00;Machine 7
Job 14;2023-01-01 00:07:00;2023-01-01 00:15:00;Machine 1
Job 14;2023-01-01 00:15:00;2023-01-01 00:17:00;Machine 3
Job 14;2023-01-01 00:17:00;2023-01-01 00:18:00;Machine 7
Job 14;2023-01-01 00:18:00;2023-01-01 00:24:00;Machine 1
Job 2;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 6
Job 2;2023-01-01 00:01:00;2023-01-01 00:03:00;Machine 3
Job 2;2023-01-01 00:03:00;2023-01-01 00:04:00;Machine 7
Job 2;2023-01-01 00:04:00;2023-01-01 00:06:00;Machine 4
Job 2;2023-01-01 00:06:00;2023-01-01 00:13:00;Machine 1
Job 2;2023-01-01 00:13:00;2023-01-01 00:14:00;Machine 3
Job 3;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 7
Job 3;2023-01-01 00:02:00;2023-01-01 00:08:00;Machine 1
Job 3;2023-01-01 00:08:00;2023-01-01 00:14:00;Machine 1
Job 3;2023-01-01 00:14:00;2023-01-01 00:15:00;Machine 3
Job 3;2023-01-01 00:15:00;2023-01-01 00:20:00;Machine 4
Job 4;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 7
Job 4;2023-01-01 00:02:00;2023-01-01 00:08:00;Machine 1
Job 4;2023-01-01 00:08:00;2023-01-01 00:09:00;Machine 3
