Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 9
Job 0;2023-01-01 00:20:00;2023-01-01 00:39:00;Machine 10
Job 0;2023-01-01 00:39:00;2023-01-01 00:56:00;Machine 12
Job 0;2023-01-01 00:56:00;2023-01-01 01:13:00;Machine 12
Job 0;2023-01-01 01:13:00;2023-01-01 01:38:00;Machine 14
Job 0;2023-01-01 01:38:00;2023-01-01 02:03:00;Machine 5
Job 0;2023-01-01 02:03:00;2023-01-01 02:23:00;Machine 9
Job 0;2023-01-01 02:23:00;2023-01-01 02:38:00;Machine 13
Job 1;2023-01-01 00:00:00;2023-01-01 00:28:00;Machine 10
Job 1;2023-01-01 00:28:00;2023-01-01 00:42:00;Machine 14
Job 1;2023-01-01 00:42:00;2023-01-01 01:07:00;Machine 14
Job 1;2023-01-01 01:07:00;2023-01-01 01:32:00;Machine 5
Job 1;2023-01-01 01:32:00;2023-01-01 01:50:00;Machine 14
Job 1;2023-01-01 01:50:00;2023-01-01 02:12:00;Machine 5
Job 1;2023-01-01 02:12:00;2023-01-01 02:30:00;Machine 10
Job 1;2023-01-01 02:30:00;2023-01-01 02:46:00;Machine 14
Job 1;2023-01-01 02:46:00;2023-01-01 03:06:00;Machine 9
Job 1;2023-01-01 03:06:00;2023-01-01 03:23:00;Machine 7
Job 1;2023-01-01 03:23:00;2023-01-01 03:46:00;Machine 8
Job 10;2023-01-01 00:00:00;2023-01-01 00:28:00;Machine 10
Job 10;2023-01-01 00:28:00;2023-01-01 00:48:00;Machine 9
Job 10;2023-01-01 00:48:00;2023-01-01 01:05:00;Machine 13
Job 10;2023-01-01 01:05:00;2023-01-01 01:28:00;Machine 8
Job 10;2023-01-01 01:28:00;2023-01-01 01:38:00;Machine 13
Job 10;2023-01-01 01:38:00;2023-01-01 01:52:00;Machine 14
Job 10;2023-01-01 01:52:00;2023-01-01 02:06:00;Machine 9
Job 10;2023-01-01 02:06:00;2023-01-01 02:23:00;Machine 12
Job 10;2023-01-01 02:23:00;2023-01-01 02:43:00;Machine 14
Job 10;2023-01-01 02:43:00;2023-01-01 02:59:00;Machine 14
Job 11;2023-01-01 00:00:00;2023-01-01 00:28:00;Machine 10
Job 11;2023-01-01 00:28:00;2023-01-01 00:51:00;Machine 6
Job 11;2023-01-01 00:51:00;2023-01-01 01:08:00;Machine 12
Job 11;2023-01-01 01:08:00;2023-01-01 01:28:00;Machine 9
Job 11;2023-01-01 01:28:00;2023-01-01 01:53:00;Machine 14
Job 11;2023-01-01 01:53:00;2023-01-01 02:08:00;Machine 13
Job 11;2023-01-01 02:08:00;2023-01-01 02:27:00;Machine 10
Job 11;2023-01-01 02:27:00;2023-01-01 02:37:00;Machine 4
Job 12;2023-01-01 00:00:00;2023-01-01 00:18:00;Machine 10
Job 12;2023-01-01 00:18:00;2023-01-01 00:31:00;Machine 14
Job 12;2023-01-01 00:31:00;2023-01-01 00:48:00;Machine 13
Job 12;2023-01-01 00:48:00;2023-01-01 00:58:00;Machine 13
Job 12;2023-01-01 00:58:00;2023-01-01 01:14:00;Machine 14
Job 12;2023-01-01 01:14:00;2023-01-01 01:32:00;Machine 14
Job 12;2023-01-01 01:32:00;2023-01-01 01:47:00;Machine 13
Job 12;2023-01-01 01:47:00;2023-01-01 02:10:00;Machine 6
Job 12;2023-01-01 02:10:00;2023-01-01 02:24:00;Machine 14
Job 12;2023-01-01 02:24:00;2023-01-01 02:44:00;Machine 9
Job 12;2023-01-01 02:44:00;2023-01-01 03:01:00;Machine 12
Job 13;2023-01-01 00:00:00;2023-01-01 00:27:00;Machine 11
Job 13;2023-01-01 00:27:00;2023-01-01 00:37:00;Machine 13
Job 13;2023-01-01 00:37:00;2023-01-01 00:48:00;Machine 1
Job 13;2023-01-01 00:48:00;2023-01-01 01:06:00;Machine 14
Job 13;2023-01-01 01:06:00;2023-01-01 01:26:00;Machine 2
Job 13;2023-01-01 01:26:00;2023-01-01 01:41:00;Machine 13
Job 13;2023-01-01 01:41:00;2023-01-01 01:55:00;Machine 14
Job 13;2023-01-01 01:55:00;2023-01-01 02:11:00;Machine 4
Job 13;2023-01-01 02:11:00;2023-01-01 02:29:00;Machine 10
Job 14;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 5
Job 14;2023-01-01 00:12:00;2023-01-01 00:29:00;Machine 12
Job 14;2023-01-01 00:29:00;2023-01-01 00:40:00;Machine 11
Job 14;2023-01-01 00:40:00;2023-01-01 00:58:00;Machine 14
Job 14;2023-01-01 00:58:00;2023-01-01 01:26:00;Machine 10
Job 14;2023-01-01 01:26:00;2023-01-01 01:46:00;Machine 2
Job 14;2023-01-01 01:46:00;2023-01-01 01:56:00;Machine 13
Job 14;2023-01-01 01:56:00;2023-01-01 02:18:00;Machine 5
Job 14;2023-01-01 02:18:00;2023-01-01 02:38:00;Machine 9
Job 14;2023-01-01 02:38:00;2023-01-01 02:49:00;Machine 1
Job 15;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 9
Job 15;2023-01-01 00:20:00;2023-01-01 00:38:00;Machine 14
Job 15;2023-01-01 00:38:00;2023-01-01 00:57:00;Machine 10
Job 15;2023-01-01 00:57:00;2023-01-01 01:17:00;Machine 9
Job 15;2023-01-01 01:17:00;2023-01-01 01:32:00;Machine 13
Job 15;2023-01-01 01:32:00;2023-01-01 01:57:00;Machine 5
Job 15;2023-01-01 01:57:00;2023-01-01 02:08:00;Machine 1
Job 15;2023-01-01 02:08:00;2023-01-01 02:30:00;Machine 5
Job 15;2023-01-01 02:30:00;2023-01-01 02:53:00;Machine 6
Job 16;2023-01-01 00:00:00;2023-01-01 00:22:00;Machine 5
Job 16;2023-01-01 00:22:00;2023-01-01 00:45:00;Machine 8
Job 16;2023-01-01 00:45:00;2023-01-01 01:03:00;Machine 14
Job 16;2023-01-01 01:03:00;2023-01-01 01:23:00;Machine 2
