0s;-;100%;0.00000;13313.000000;0;0;H
0s;-;100%;0.00000;13059.000000;0;0;H
0s;-;100%;0.00000;13057.000000;0;0;H
0s;-;100%;0.00000;8532.0000000;0;0;H
0s;-;100%;0.00000;8332.0000000;0;0;H
0s;-;100%;0.00000;8332.00000;38;0;0.00000;0;0
0s;-;100%;0.00000;8314.0000000;0;0;H
0s;-;100%;0.00000;8314.00000;48;0;0.00000;0;0
0s;-;100%;0.00000;8314.00000;50;0;0.00000;0;0
0s;-;100%;0.00000;8312.0000000;0;0;H
0s;-;100%;0.00000;8312.00000;65;0;0.00000;0;0
0s;-;93.2%;567.75015;8312.00000;41;0;567.75015;0;0
0s;-;93.2%;567.75015;8311.0000000;0;0;H
0s;-;92.7%;567.75015;7821.0000000;0;0;H
0s;-;85.0%;1176.91189;7821.00000;38;0;1176.91189;0;0
0s;-;84.9%;1178.69877;7821.00000;44;0;1178.69877;0;0
0s;-;74.3%;2007.60664;7821.00000;58;0;2007.60664;0;0
0s;-;74.3%;2010.76032;7821.00000;65;0;2010.76032;0;0
0s;-;67.9%;2508.96306;7821.00000;64;0;2508.96306;0;0
0s;-;67.9%;2509.77411;7821.00000;66;0;2509.77411;0;0
0s;-;67.9%;2512.62614;7821.00000;55;0;2512.62614;0;0
0s;-;67.9%;2512.62614;7820.0000000;0;0;H
0s;-;67.9%;2512.62614;7820.00000;55;0;2512.62614;0;0
0s;-;67.9%;2512.62614;7820.00000;55;0;2512.62614;0;0
0s;-;67.9%;2512.62614;7820.00000;55;0;2512.62614;0;0
0s;-;67.3%;2512.62614;7674.0000000;0;0;H
0s;-;67.3%;2512.62614;7674.00000;55;0;2512.62614;0;0
0s;-;67.3%;2513.00000;7674.00000;54;0;2513.00000;0;0
0s;-;67.3%;2513.00000;7674.00000;49;0;2513.00000;0;0
0s;-;67.2%;2514.00000;7674.00000;29;0;2514.00000;2;0
0s;46.1;64.1%;2528.00000;7043.0000000;20;36;H
0s;34.9;64.1%;2528.00000;7042.0000000;48;70;H
0s;27.1;64.1%;2528.00000;7041.0000000;85;117;H
0s;26.3;62.3%;2528.00000;6702.0000000;85;121;H
0s;21.7;62.0%;2528.00000;6650.0000000;123;173;H
0s;21.2;59.6%;2528.00000;6256.0000000;123;178;H
0s;20.5;58.5%;2528.00000;6096.0000000;123;188;H
0s;18.0;53.6%;2528.00000;5449.0000000;159;262;H
5s;23.5;49.8%;2734.00000;5449.00000;67;32;4464.00249;833;1597
6s;20.9;46.3%;2810.44724;5235.0000000;927;1815;H
6s;18.8;46.2%;2810.44724;5221.0000000;967;2421;H
10s;13.2;38.7%;3201.78859;5221.00000;25;60;5173.25048;5438;16330
