0s;-;100%;0.00000;2.0001e+07;14;0;0.00000;0;0
0s;-;100%;0.00000;5667.0000000;0;0;H
0s;-;100%;0.00000;5666.0000000;0;0;H
0s;-;100%;0.00000;4601.0000000;0;0;H
0s;-;100%;0.00000;4424.0000000;0;0;H
0s;-;100%;0.00000;4424.00000;29;0;0.00000;0;0
0s;-;100%;0.00000;4412.0000000;0;0;H
0s;-;100%;0.00000;3968.0000000;0;0;H
0s;-;100%;0.00000;3968.00000;25;0;0.00000;0;0
0s;-;100%;0.00000;3968.00000;22;0;0.00000;0;0
0s;-;93.1%;273.21775;3968.00000;33;0;273.21775;0;0
0s;-;66.2%;1340.67918;3968.00000;35;0;1340.67918;0;0
0s;-;59.4%;1609.91812;3968.00000;44;0;1609.91812;0;0
0s;-;59.4%;1609.91812;3968.00000;45;0;1609.91812;0;0
0s;-;59.0%;1625.20508;3968.00000;42;0;1625.20508;0;0
0s;-;59.0%;1625.41274;3968.00000;43;0;1625.41274;0;0
0s;-;59.0%;1627.29992;3968.00000;40;0;1627.29992;0;0
0s;-;59.0%;1627.30666;3968.00000;41;0;1627.30666;0;0
0s;-;59.0%;1627.30666;3968.00000;43;0;1627.30666;0;0
0s;-;59.0%;1627.30666;3968.00000;35;0;1627.30666;0;0
0s;-;59.0%;1627.30666;3967.0000000;0;0;H
0s;-;58.1%;1628.29239;3882.0000000;0;0;H
0s;-;58.1%;1628.29239;3882.00000;32;0;1628.29239;2;0
0s;13.9;53.1%;1635.96756;3485.0000000;30;31;H
0s;10.3;53.0%;1635.96756;3479.0000000;68;86;H
0s;10.1;52.1%;1635.96756;3414.0000000;88;128;H
0s;7.7;51.9%;1635.96756;3398.0000000;154;283;H
0s;6.2;49.9%;1671.47352;3339.0000000;309;688;H
0s;4.7;45.0%;1836.40357;3336.0000000;25;1191;4023;*
0s;4.5;44.9%;1836.40357;3334.0000000;1276;5121;H
0s;4.5;44.9%;1836.40357;3333.0000000;1214;5123;H
0s;4.5;44.9%;1836.40357;3331.0000000;1153;5123;H
0s;4.5;44.9%;1836.40357;3330.0000000;1098;5127;H
0s;4.5;44.8%;1836.40357;3329.0000000;1044;5129;H
0s;4.5;44.8%;1836.40357;3327.0000000;992;5129;H
0s;4.5;44.8%;1836.40357;3326.0000000;946;5135;H
1s;4.5;44.8%;1836.40357;3325.0000000;901;5140;H
1s;4.5;44.7%;1836.40357;3323.0000000;856;5140;H
1s;4.5;44.7%;1836.40357;3322.0000000;816;5146;H
1s;4.5;44.5%;1836.40357;3308.0000000;776;5148;H
1s;1.4;43.9%;1836.40357;3271.0000000;864;5389;H
1s;1.5;42.6%;1836.40357;3202.0000000;821;5404;H
