0s;-;100%;0.00000;17222.000000;0;0;H
0s;-;100%;0.00000;16521.000000;0;0;H
0s;-;100%;0.00000;15740.000000;0;0;H
0s;-;100%;0.00000;15740.0000;27;0;0.00000;0;0
0s;-;100%;0.00000;15739.000000;0;0;H
0s;-;100%;0.00000;15737.000000;0;0;H
0s;-;100%;0.00000;15737.0000;29;0;0.00000;0;0
0s;-;100%;0.00000;14176.000000;0;0;H
0s;-;100%;0.00000;14176.0000;31;0;0.00000;0;0
0s;-;100%;0.00000;13115.000000;0;0;H
0s;-;100%;0.00000;13000.000000;0;0;H
0s;-;99.2%;102.24700;13000.0000;43;0;102.24700;0;0
0s;-;99.2%;102.24700;12835.000000;0;0;H
0s;-;99.1%;102.24700;11680.000000;0;0;H
0s;-;78.4%;2522.87665;11680.0000;61;0;2522.87665;0;0
0s;-;74.3%;2995.95163;11680.0000;66;0;2995.95163;0;0
0s;-;74.2%;3008.22114;11680.0000;69;0;3008.22114;0;0
0s;-;74.2%;3008.22114;11678.000000;0;0;H
0s;-;74.2%;3016.60394;11678.0000;68;0;3016.60394;0;0
0s;-;74.2%;3016.60394;11677.000000;0;0;H
0s;-;72.3%;3019.76570;10895.000000;0;0;H
0s;-;72.3%;3019.76570;10895.0000;75;0;3019.76570;0;0
0s;-;72.3%;3020.81301;10895.0000;74;0;3020.81301;0;0
0s;-;72.3%;3022.03580;10895.0000;79;0;3022.03580;0;0
0s;-;72.3%;3022.58051;10895.0000;79;0;3022.58051;0;0
0s;-;72.3%;3022.58051;10895.0000;73;0;3022.58051;0;0
0s;-;72.3%;3022.58051;10895.0000;73;0;3022.58051;2;0
0s;12.3;71.9%;3059.00000;10893.000000;26;32;H
0s;14.1;71.6%;3059.00000;10762.000000;52;64;H
0s;12.6;71.0%;3059.00000;10556.000000;61;85;H
0s;10.3;70.9%;3059.00000;10506.000000;97;137;H
0s;9.4;70.5%;3059.00000;10358.000000;151;175;H
0s;7.6;68.3%;3059.00000;9665.0000000;224;273;H
0s;7.0;67.5%;3059.00000;9423.0000000;317;409;H
0s;6.9;67.5%;3059.00000;9409.0000000;334;464;H
0s;6.5;66.6%;3059.00000;9165.0000000;451;664;H
1s;6.5;65.3%;3181.39007;9164.0000000;849;1489;H
1s;6.4;64.6%;3242.38597;9162.0000000;814;1501;H
2s;6.4;64.5%;3256.30015;9161.0000000;775;1505;H
2s;6.4;64.3%;3271.00000;9160.0000000;739;1511;H
2s;6.4;64.3%;3271.00000;9158.0000000;702;1511;H
2s;6.4;64.2%;3279.00000;9157.0000000;668;1513;H
2s;6.4;64.2%;3281.00000;9156.0000000;635;1515;H
2s;6.4;64.2%;3281.00000;9154.0000000;603;1515;H
2s;6.3;64.1%;3287.00000;9153.0000000;573;1517;H
3s;6.3;63.7%;3320.00000;9152.0000000;548;1522;H
3s;6.3;63.0%;3383.00000;9151.0000000;524;1529;H
3s;6.3;62.9%;3392.00000;9150.0000000;499;1532;H
3s;6.3;62.9%;3392.00000;9148.0000000;473;1532;H
3s;6.3;62.9%;3395.00000;9147.0000000;450;1534;H
3s;6.3;62.9%;3397.00000;9146.0000000;428;1536;H
3s;6.3;62.2%;3397.00000;8989.0000000;406;1536;H
4s;6.2;62.2%;3401.39708;8988.0000000;387;1541;H
4s;16.2;61.3%;3452.82293;8912.0000000;407;1579;H
4s;16.7;61.3%;3452.82293;8911.0000000;419;1626;H
5s;17.1;61.3%;3452.82293;8911.00000;108;20;3485.43115;451;1673
5s;17.0;61.0%;3452.82293;8855.0000000;433;1674;H
6s;17.8;59.2%;3452.82293;8472.0000000;502;1826;H
6s;17.3;58.9%;3452.82293;8410.0000000;527;1987;H
10s;17.1;57.3%;3594.94093;8410.00000;104;25;3702.00613;5099;11589
10s;17.1;57.0%;3606.34904;8378.0000000;5302;H12532
15s;16.1;55.4%;3740.18667;8378.00000;73;30;5779.20620;9422;21119
21s;16.9;55.4%;3740.18667;8378.00000;34;91;8127.04668;9925;22598
25s;13.9;53.8%;3874.57936;8378.00000;37;58;5762.17722;15838;40622
