0s;-;100%;0.00000;50.0000000;0;0;H
0s;-;100%;0.00000;28.0000000;0;0;H
0s;-;100%;0.00000;25.0000000;0;0;H
0s;-;100%;0.00000;23.0000000;0;0;H
0s;-;100%;0.00000;22.0000000;0;0;H
0s;-;100%;0.00000;22.00000;1;0;0.00000;0;0
0s;-;100%;0.00000;21.0000000;0;0;H
0s;-;100%;0.00000;21.00000;6;0;0.00000;0;0
0s;-;100%;0.00000;21.00000;5;0;0.00000;0;0
0s;-;100%;0.00000;21.00000;5;0;0.00000;0;0
0s;-;100%;0.00000;18.0000000;0;0;H
0s;-;100%;0.00000;18.00000;1;0;0.00000;0;0
0s;-;100%;0.00000;17.0000000;0;0;H
0s;-;100%;0.00000;17.00000;1;0;0.00000;0;0
0s;-;100%;0.00000;17.00000;1;0;0.00000;2;0
0s;7.1;100%;0.00000;14.0000000;72;97;H
0s;7.0;100%;0.00000;12.0000000;68;119;H
0s;2.2;100%;0.00000;11.0000000;94;573;H
