0s;-;68.5%;57.00000;181.00000;28;0;57.00000;0;0
0s;-;68.3%;57.00000;180.0000000;0;0;H
0s;-;68.0%;57.00000;178.0000000;0;0;H
0s;-;68.0%;57.00000;178.00000;22;0;57.00000;0;0
0s;-;67.8%;57.00000;177.0000000;0;0;H
0s;-;67.1%;57.94543;176.0000000;0;0;H
0s;-;67.1%;57.94543;176.00000;45;0;57.94543;0;0
0s;-;66.4%;59.21501;176.00000;38;0;59.21501;0;0
0s;-;66.2%;59.21501;175.0000000;0;0;H
0s;-;66.1%;59.29359;175.00000;54;0;59.29359;0;0
0s;-;66.1%;59.30208;175.00000;58;0;59.30208;0;0
0s;-;66.1%;59.30208;175.00000;61;0;59.30208;0;0
0s;-;64.7%;59.30208;168.0000000;0;0;H
0s;-;64.6%;59.49902;168.00000;46;0;59.49902;0;0
0s;-;64.5%;59.63245;168.00000;58;0;59.63245;0;0
0s;-;64.3%;59.97957;168.00000;56;0;59.97957;0;0
0s;-;64.3%;59.98823;168.00000;70;0;59.98823;0;0
0s;-;64.3%;59.98823;168.00000;69;0;59.98823;0;0
0s;-;64.2%;60.11864;168.00000;54;0;60.11864;0;0
0s;-;64.1%;60.32849;168.00000;66;0;60.32849;0;0
0s;-;64.1%;60.32849;168.00000;65;0;60.32849;0;0
0s;-;63.9%;60.66243;168.00000;67;0;60.66243;0;0
0s;-;63.9%;60.70931;168.00000;71;0;60.70931;0;0
0s;-;63.9%;60.70931;168.00000;74;0;60.70931;0;0
0s;-;63.8%;60.89389;168.00000;70;0;60.89389;0;0
0s;-;63.7%;60.93596;168.00000;64;0;60.93596;0;0
0s;-;63.7%;60.93596;168.00000;65;0;60.93596;0;0
0s;-;63.6%;61.08925;168.00000;57;0;61.08925;0;0
0s;-;63.6%;61.08925;168.00000;60;0;61.08925;0;0
0s;-;63.5%;61.29829;168.00000;62;0;61.29829;0;0
0s;-;63.5%;61.29829;168.00000;69;0;61.29829;0;0
0s;-;63.5%;61.33381;168.00000;72;0;61.33381;0;0
0s;-;63.5%;61.34338;168.00000;75;0;61.34338;0;0
0s;-;63.5%;61.34338;168.00000;74;0;61.34338;0;0
0s;-;63.5%;61.37392;168.00000;58;0;61.37392;0;0
0s;-;63.5%;61.37392;168.00000;61;0;61.37392;0;0
0s;-;63.4%;61.42783;168.00000;75;0;61.42783;0;0
0s;-;63.4%;61.42783;168.00000;77;0;61.42783;0;0
0s;-;63.4%;61.43771;168.00000;75;0;61.43771;0;0
0s;-;63.4%;61.44372;168.00000;75;0;61.44372;0;0
0s;-;63.4%;61.44372;168.00000;75;0;61.44372;0;0
0s;-;63.4%;61.44372;168.00000;75;0;61.44372;0;0
0s;-;63.4%;61.44372;168.00000;75;0;61.44372;0;0
0s;-;63.4%;61.44372;168.00000;75;0;61.44372;0;0
0s;-;63.4%;61.44372;168.00000;58;0;61.44372;0;0
0s;-;63.4%;61.44372;168.00000;58;0;61.44372;2;0
0s;29.4;62.6%;62.39819;167.0000000;40;36;H
0s;11.7;60.5%;62.39819;158.0000000;188;186;H
0s;11.6;54.8%;62.39819;138.0000000;188;192;H
0s;8.2;54.3%;62.56668;137.0000000;275;421;H
0s;7.0;53.9%;62.70754;136.0000000;365;575;H
2s;0.6;48.5%;65.43650;127.0000000;507;H15054
2s;0.7;47.7%;65.43650;125.0000000;589;H15170
2s;1.4;45.7%;66.20799;122.0000000;65;1264;*16592
2s;1.7;45.1%;66.44630;121.0000000;1345;H17005
5s;6.6;41.4%;70.93344;121.00000;58;47;95.40527;13182;42068
10s;8.5;41.4%;70.93344;121.00000;59;49;88.23495;14593;47782
15s;11.0;40.2%;72.33333;121.00000;12;73;118.00000;18548;66400
22s;12.0;39.2%;73.58296;121.00000;89;49;75.68750;20000;82381
25s;12.3;38.8%;74.05079;121.00000;65;cutoff;23931;89086
30s;12.8;38.2%;74.73832;121.00000;53;52;81.79311;28730;99329
35s;13.2;37.6%;75.50878;121.00000;40;59;99.58155;34109;113728
40s;13.4;37.2%;76.04573;121.00000;64;cutoff;40022;126013
45s;13.7;36.6%;76.65869;121.00000;63;cutoff;46740;140921
50s;13.9;36.1%;77.27186;121.00000;58;53;91.78315;52680;156766
55s;14.1;35.8%;77.66387;121.00000;30;62;111.38224;58851;169702
60s;14.2;35.5%;78.00862;121.00000;57;51;100.67585;64602;183529
65s;14.3;35.2%;78.45035;121.00000;71;47;80.00754;71008;199953
70s;14.4;34.8%;78.87139;121.00000;44;54;103.30286;77380;215820
75s;14.5;34.5%;79.21689;121.00000;70;53;88.16831;83469;231376
80s;14.6;34.2%;79.60456;121.00000;75;cutoff;90562;249399
85s;14.6;33.9%;79.94802;121.00000;70;50;81.85681;96802;266012
90s;14.7;33.7%;80.26045;121.00000;41;66;110.20567;103067;282808
