0s;-;76.1%;64.00000;268.00000;51;0;64.00000;0;0
0s;-;76.0%;64.00000;267.0000000;0;0;H
0s;-;72.9%;64.00000;236.0000000;0;0;H
0s;-;72.6%;64.00000;234.0000000;0;0;H
0s;-;70.9%;64.00000;220.0000000;0;0;H
0s;-;70.9%;64.00000;220.00000;25;0;64.00000;0;0
0s;-;70.3%;65.27306;220.00000;65;0;65.27306;0;0
0s;-;69.6%;65.27306;215.0000000;0;0;H
0s;-;68.9%;66.93626;215.00000;55;0;66.93626;0;0
0s;-;68.7%;66.93626;214.0000000;0;0;H
0s;-;68.6%;67.17330;214.00000;68;0;67.17330;0;0
0s;-;68.6%;67.17330;214.00000;67;0;67.17330;0;0
0s;-;64.3%;67.17330;188.0000000;0;0;H
0s;-;63.8%;68.02874;188.00000;72;0;68.02874;0;0
0s;-;63.7%;68.18479;188.00000;82;0;68.18479;0;0
0s;-;63.7%;68.18479;188.00000;84;0;68.18479;0;0
0s;-;63.4%;68.82071;188.00000;93;0;68.82071;0;0
0s;-;63.4%;68.82071;188.00000;95;0;68.82071;0;0
0s;-;61.6%;68.82071;179.0000000;0;0;H
0s;-;61.6%;68.82251;179.00000;98;0;68.82251;0;0
0s;-;61.6%;68.82251;179.00000;84;0;68.82251;0;0
0s;-;61.6%;68.82251;179.00000;97;0;68.82251;0;0
0s;-;61.6%;68.82251;179.00000;92;0;68.82251;0;0
0s;-;61.5%;68.83587;179.00000;62;0;68.83587;0;0
0s;-;61.5%;68.83587;179.00000;88;0;68.83587;0;0
0s;-;61.5%;68.93179;179.00000;86;0;68.93179;0;0
0s;-;61.5%;68.93179;179.00000;93;0;68.93179;0;0
0s;-;61.5%;68.94348;179.00000;84;0;68.94348;0;0
0s;-;61.5%;68.94348;179.00000;86;0;68.94348;0;0
0s;-;61.5%;68.94348;179.00000;87;0;68.94348;0;0
0s;-;61.5%;68.94348;179.00000;89;0;68.94348;0;0
0s;-;61.5%;68.94348;179.00000;58;0;68.94348;0;0
0s;-;61.5%;68.94348;179.00000;73;0;68.94348;0;0
0s;-;61.5%;68.94348;179.00000;61;0;68.94348;0;0
0s;-;61.5%;68.94348;179.00000;42;0;68.94348;0;0
0s;-;61.3%;69.32644;179.00000;41;0;69.32644;2;0
1s;0.7;57.3%;71.77489;168.0000000;746;H15965
2s;0.8;56.2%;72.78830;166.0000000;818;H16113
2s;0.9;53.9%;72.78830;158.0000000;844;H16168
2s;1.0;53.6%;72.78830;157.0000000;804;H16186
2s;1.1;53.3%;72.78830;156.0000000;822;H16272
5s;7.5;51.5%;75.69054;156.00000;50;53;96.36373;11769;34334
10s;8.4;51.3%;75.89707;156.00000;109;45;95.25427;16224;41725
15s;10.5;50.4%;77.40802;156.00000;93;46;79.77023;18005;46983
20s;12.8;49.5%;78.80658;156.00000;16;79;138.00000;21207;58221
25s;14.7;48.6%;80.17704;156.00000;86;61;88.03674;25727;76014
30s;15.4;48.1%;80.90893;156.00000;72;54;95.72375;29569;90102
35s;16.0;47.8%;81.44804;156.00000;86;60;90.09777;38015;103733
40s;16.4;47.5%;81.87583;156.00000;81;cutoff;45696;116149
45s;16.6;47.3%;82.27902;156.00000;55;69;94.00000;52093;127661
50s;16.8;47.0%;82.61740;156.00000;25;80;139.61538;59183;141061
55s;17.1;46.9%;82.91037;156.00000;34;64;110.00000;66787;153671
60s;17.2;46.7%;83.15277;156.00000;68;65;110.37043;73358;165580
65s;17.4;46.6%;83.36852;156.00000;96;58;86.66186;79331;175805
70s;17.5;46.4%;83.58393;156.00000;52;51;110.16599;85905;187201
75s;17.6;46.3%;83.73510;156.00000;64;63;109.66902;90301;195910
80s;17.7;46.2%;83.87216;156.00000;51;63;117.29591;95704;205330
85s;17.7;46.2%;84.00000;156.00000;61;infeasible;101585;215529
90s;17.7;46.1%;84.13481;156.00000;81;cutoff;107006;225626
99s;17.8;46.0%;84.26283;156.00000;82;61;84.76304;110892;234036
100s;17.8;46.0%;84.26337;156.00000;76;62;84.76304;111209;234056
106s;17.8;45.9%;84.37989;156.00000;57;66;108.60741;115524;241191
111s;17.8;45.9%;84.46606;156.00000;82;63;89.53748;119022;248015
115s;17.9;45.8%;84.56389;156.00000;70;68;100.77456;122618;254908
120s;17.9;45.7%;84.67082;156.00000;64;59;90.50644;127125;263554
125s;17.9;45.7%;84.75595;156.00000;60;71;111.97667;130534;270320
130s;18.0;45.6%;84.83687;156.00000;76;58;100.97799;135564;278713
135s;18.0;45.6%;84.92308;156.00000;86;61;89.25614;139377;285388
140s;18.0;45.5%;85.02869;156.00000;75;61;96.55146;144168;294168
145s;18.0;45.5%;85.09511;156.00000;61;57;110.94632;147892;301189
150s;18.0;45.4%;85.18628;156.00000;83;64;91.15591;152364;309698
155s;18.0;45.4%;85.25291;156.00000;36;67;134.80478;156046;316264
160s;18.0;45.3%;85.32955;156.00000;38;85;130.00000;159328;323281
165s;18.0;45.3%;85.40330;156.00000;71;64;132.28164;163913;331549
