0s;-;63.4%;24000.0000;65648.000000;0;0;H
0s;-;63.4%;24000.0000;65647.000000;0;0;H
0s;-;42.4%;37840.0000;65647.0000;39;0;37840.0000;0;0
0s;-;42.4%;37840.0000;65646.000000;0;0;H
0s;-;40.3%;37840.0000;63355.000000;0;0;H
0s;-;33.9%;37840.0000;57218.000000;0;0;H
0s;-;32.3%;37840.0000;55930.000000;0;0;H
0s;-;32.3%;37840.0000;55930.0000;41;0;37840.0000;0;0
0s;-;32.2%;37919.0000;55930.0000;24;0;37919.0000;0;0
0s;-;32.2%;37919.0000;55930.0000;28;0;37919.0000;0;0
0s;-;28.9%;37919.0000;53359.000000;0;0;H
0s;-;23.0%;37919.0000;49238.000000;0;0;H
0s;-;23.0%;37919.0000;49238.0000;27;0;37919.0000;0;0
0s;-;23.0%;37920.2830;49238.0000;30;0;37920.2830;0;0
0s;-;22.9%;37966.0734;49238.0000;36;0;37966.0734;0;0
0s;-;22.8%;37994.9596;49238.0000;38;0;37994.9596;0;0
0s;-;22.8%;37994.9596;49238.0000;38;0;37994.9596;0;0
0s;-;22.8%;37999.0135;49238.0000;39;0;37999.0135;0;0
0s;-;22.8%;37999.0135;49238.0000;38;0;37999.0135;0;0
0s;-;22.8%;37999.0135;49238.0000;39;0;37999.0135;0;0
0s;-;22.8%;37999.0135;49238.0000;39;0;37999.0135;0;0
0s;-;22.8%;37999.0135;49238.0000;38;0;37999.0135;2;0
0s;11.0;20.3%;38709.9657;48545.000000;80;85;H
0s;10.4;20.1%;38709.9657;48428.000000;102;129;H
0s;8.9;14.4%;40727.8295;47572.000000;184;644;H
