;Job;Op;Start;Finish;Start_f;Finish_f;Resource
3;1;0;2023-01-01 01:39:00;2023-01-01 05:13:00;99;313;Machine 01
6;2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;0;87;Machine 01
1;0;1;2023-01-01 04:32:00;2023-01-01 06:42:00;272;402;Machine 02
9;3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;0;65;Machine 02
18;6;0;2023-01-01 01:19:00;2023-01-01 03:56:00;79;236;Machine 02
0;0;0;2023-01-01 02:37:00;2023-01-01 04:17:00;157;257;Machine 03
4;1;1;2023-01-01 05:30:00;2023-01-01 06:57:00;330;417;Machine 03
12;4;0;2023-01-01 00:00:00;2023-01-01 02:25:00;0;145;Machine 03
2;0;2;2023-01-01 08:19:00;2023-01-01 10:49:00;499;649;Machine 04
11;3;2;2023-01-01 05:42:00;2023-01-01 08:07:00;342;487;Machine 04
15;5;0;2023-01-01 00:10:00;2023-01-01 02:44:00;10;164;Machine 04
16;5;1;2023-01-01 02:56:00;2023-01-01 05:26:00;176;326;Machine 04
5;1;2;2023-01-01 07:18:00;2023-01-01 10:16:00;438;616;Machine 05
10;3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65;238;Machine 05
19;6;1;2023-01-01 04:14:00;2023-01-01 07:02:00;254;422;Machine 05
8;2;2;2023-01-01 03:52:00;2023-01-01 06:25:00;232;385;Machine 06
14;4;2;2023-01-01 06:37:00;2023-01-01 08:02:00;397;482;Machine 06
20;6;2;2023-01-01 08:12:00;2023-01-01 10:57:00;492;657;Machine 06
7;2;1;2023-01-01 01:27:00;2023-01-01 03:52:00;87;232;Machine 07
13;4;1;2023-01-01 04:12:00;2023-01-01 05:38:00;252;338;Machine 07
17;5;2;2023-01-01 05:51:00;2023-01-01 08:51:00;351;531;Machine 07
