;Job;Op;Start;Finish;Start_f;Finish_f;Resource
3;1;0;2023-01-01 01:40:00;2023-01-01 05:14:00;100;314;Machine 01
6;2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;0;87;Machine 01
0;0;0;2023-01-01 01:15:00;2023-01-01 03:18:00;75;198;Machine 02
1;0;1;2023-01-01 03:28:00;2023-01-01 05:38:00;208;338;Machine 02
9;3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;0;65;Machine 02
4;1;1;2023-01-01 05:24:00;2023-01-01 06:51:00;324;411;Machine 03
12;4;0;2023-01-01 00:00:00;2023-01-01 02:25:00;0;145;Machine 03
13;4;1;2023-01-01 02:35:00;2023-01-01 04:01:00;155;241;Machine 03
7;2;1;2023-01-01 01:27:00;2023-01-01 03:12:00;87;192;Machine 04
11;3;2;2023-01-01 04:15:00;2023-01-01 06:40:00;255;400;Machine 04
10;3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65;238;Machine 05
14;4;2;2023-01-01 04:13:00;2023-01-01 06:03:00;253;363;Machine 05
5;1;2;2023-01-01 07:04:00;2023-01-01 08:39:00;424;519;Machine 06
8;2;2;2023-01-01 03:12:00;2023-01-01 05:45:00;192;345;Machine 06
2;0;2;2023-01-01 05:38:00;2023-01-01 08:58:00;338;538;Machine 07
