Job;Op;Start;Finish;Resource
0;0;2023-01-01 00:00:00;2023-01-01 02:03:00;Machine 2
0;1;2023-01-01 02:03:00;2023-01-01 04:06:00;Machine 1
0;2;2023-01-01 04:06:00;2023-01-01 07:26:00;Machine 7
1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;Machine 3
1;1;2023-01-01 03:05:00;2023-01-01 04:11:00;Machine 2
1;2;2023-01-01 04:11:00;2023-01-01 05:46:00;Machine 6
2;0;2023-01-01 02:03:00;2023-01-01 03:05:00;Machine 2
2;1;2023-01-01 03:05:00;2023-01-01 04:50:00;Machine 4
2;2;2023-01-01 05:42:00;2023-01-01 07:22:00;Machine 5
3;0;2023-01-01 00:00:00;2023-01-01 01:27:00;Machine 1
3;1;2023-01-01 01:27:00;2023-01-01 04:20:00;Machine 5
3;2;2023-01-01 04:50:00;2023-01-01 07:15:00;Machine 4
4;0;2023-01-01 02:30:00;2023-01-01 04:55:00;Machine 3
4;1;2023-01-01 04:55:00;2023-01-01 05:42:00;Machine 5
4;2;2023-01-01 05:46:00;2023-01-01 07:11:00;Machine 6
