Job;Op;Start;Finish;Resource
0;0;2023-01-01 00:00:00;2023-01-01 00:13:00;Machine 3
0;1;2023-01-01 00:13:00;2023-01-01 00:25:00;Machine 11
0;2;2023-01-01 00:25:00;2023-01-01 00:36:00;Machine 10
0;3;2023-01-01 00:36:00;2023-01-01 00:52:00;Machine 5
0;4;2023-01-01 00:52:00;2023-01-01 01:13:00;Machine 17
1;0;2023-01-01 00:23:00;2023-01-01 00:35:00;Machine 1
1;1;2023-01-01 00:35:00;2023-01-01 00:47:00;Machine 13
1;2;2023-01-01 00:47:00;2023-01-01 01:03:00;Machine 6
1;3;2023-01-01 01:03:00;2023-01-01 01:13:00;Machine 13
1;4;2023-01-01 01:13:00;2023-01-01 01:30:00;Machine 17
2;0;2023-01-01 00:12:00;2023-01-01 00:26:00;Machine 2
2;1;2023-01-01 00:26:00;2023-01-01 00:38:00;Machine 6
2;2;2023-01-01 00:38:00;2023-01-01 00:49:00;Machine 16
2;3;2023-01-01 00:49:00;2023-01-01 00:59:00;Machine 16
2;4;2023-01-01 00:59:00;2023-01-01 01:12:00;Machine 19
3;0;2023-01-01 00:13:00;2023-01-01 00:41:00;Machine 3
3;1;2023-01-01 00:45:00;2023-01-01 00:58:00;Machine 8
3;2;2023-01-01 00:58:00;2023-01-01 01:08:00;Machine 15
3;3;2023-01-01 01:08:00;2023-01-01 01:18:00;Machine 16
3;4;2023-01-01 01:18:00;2023-01-01 01:30:00;Machine 20
4;0;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 2
4;1;2023-01-01 00:12:00;2023-01-01 00:24:00;Machine 5
4;2;2023-01-01 00:24:00;2023-01-01 00:36:00;Machine 12
4;3;2023-01-01 00:36:00;2023-01-01 00:47:00;Machine 7
4;4;2023-01-01 00:47:00;2023-01-01 00:59:00;Machine 19
5;0;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 1
5;1;2023-01-01 00:12:00;2023-01-01 00:30:00;Machine 7
5;2;2023-01-01 00:30:00;2023-01-01 00:44:00;Machine 15
5;3;2023-01-01 00:44:00;2023-01-01 00:57:00;Machine 9
5;4;2023-01-01 00:57:00;2023-01-01 01:13:00;Machine 18
6;0;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 4
6;1;2023-01-01 00:14:00;2023-01-01 00:25:00;Machine 14
6;2;2023-01-01 00:25:00;2023-01-01 00:37:00;Machine 9
6;3;2023-01-01 00:37:00;2023-01-01 00:47:00;Machine 14
6;4;2023-01-01 00:47:00;2023-01-01 01:06:00;Machine 20
7;0;2023-01-01 00:14:00;2023-01-01 00:27:00;Machine 4
7;1;2023-01-01 00:27:00;2023-01-01 00:47:00;Machine 11
7;2;2023-01-01 00:47:00;2023-01-01 00:58:00;Machine 10
7;3;2023-01-01 00:58:00;2023-01-01 01:09:00;Machine 5
7;4;2023-01-01 01:12:00;2023-01-01 01:30:00;Machine 19
8;0;2023-01-01 00:12:00;2023-01-01 00:23:00;Machine 1
8;1;2023-01-01 00:23:00;2023-01-01 00:34:00;Machine 16
8;2;2023-01-01 00:34:00;2023-01-01 00:45:00;Machine 8
8;3;2023-01-01 00:49:00;2023-01-01 01:01:00;Machine 12
8;4;2023-01-01 01:06:00;2023-01-01 01:18:00;Machine 20
9;0;2023-01-01 00:26:00;2023-01-01 00:37:00;Machine 2
9;1;2023-01-01 00:37:00;2023-01-01 00:49:00;Machine 12
9;2;2023-01-01 00:49:00;2023-01-01 01:04:00;Machine 11
9;3;2023-01-01 01:04:00;2023-01-01 01:15:00;Machine 6
9;4;2023-01-01 01:15:00;2023-01-01 01:26:00;Machine 18
