Job;Op;Start;Finish;Resource
0;0;2023-01-01 04:29:00;2023-01-01 06:09:00;Machine 3
0;1;2023-01-01 07:34:00;2023-01-01 09:44:00;Machine 2
0;2;2023-01-01 09:44:00;2023-01-01 12:14:00;Machine 4
0;3;2023-01-01 12:14:00;2023-01-01 14:39:00;Machine 6
1;0;2023-01-01 03:35:00;2023-01-01 07:09:00;Machine 1
1;1;2023-01-01 07:09:00;2023-01-01 08:36:00;Machine 3
1;2;2023-01-01 10:39:00;2023-01-01 12:14:00;Machine 6
1;3;2023-01-01 12:39:00;2023-01-01 14:39:00;Machine 5
2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;Machine 1
2;1;2023-01-01 01:27:00;2023-01-01 03:52:00;Machine 7
2;2;2023-01-01 03:58:00;2023-01-01 05:38:00;Machine 5
2;3;2023-01-01 05:38:00;2023-01-01 08:23:00;Machine 7
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;Machine 2
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;Machine 5
3;2;2023-01-01 04:05:00;2023-01-01 06:30:00;Machine 4
3;3;2023-01-01 07:49:00;2023-01-01 10:39:00;Machine 6
4;0;2023-01-01 01:27:00;2023-01-01 03:35:00;Machine 1
4;1;2023-01-01 03:52:00;2023-01-01 05:18:00;Machine 7
4;2;2023-01-01 05:18:00;2023-01-01 06:58:00;Machine 2
4;3;2023-01-01 06:58:00;2023-01-01 09:43:00;Machine 4
5;0;2023-01-01 01:05:00;2023-01-01 03:30:00;Machine 2
5;1;2023-01-01 08:36:00;2023-01-01 10:39:00;Machine 3
5;2;2023-01-01 10:39:00;2023-01-01 12:39:00;Machine 5
5;3;2023-01-01 12:39:00;2023-01-01 14:39:00;Machine 4
6;0;2023-01-01 00:00:00;2023-01-01 02:25:00;Machine 3
6;1;2023-01-01 02:25:00;2023-01-01 04:29:00;Machine 3
6;2;2023-01-01 05:38:00;2023-01-01 08:03:00;Machine 5
6;3;2023-01-01 08:03:00;2023-01-01 10:23:00;Machine 5
7;0;2023-01-01 00:00:00;2023-01-01 04:05:00;Machine 4
7;1;2023-01-01 04:05:00;2023-01-01 07:49:00;Machine 6
7;2;2023-01-01 08:23:00;2023-01-01 11:21:00;Machine 7
7;3;2023-01-01 11:21:00;2023-01-01 13:51:00;Machine 7
