Job;Op;Start;Finish;Resource
0;0;2023-01-01 04:29:00;2023-01-01 06:09:00;Machine 3
0;1;2023-01-01 07:25:00;2023-01-01 09:45:00;Machine 4
0;2;2023-01-01 09:45:00;2023-01-01 12:15:00;Machine 4
0;3;2023-01-01 12:15:00;2023-01-01 14:40:00;Machine 8
1;0;2023-01-01 02:08:00;2023-01-01 05:42:00;Machine 1
1;1;2023-01-01 09:33:00;2023-01-01 10:39:00;Machine 2
1;2;2023-01-01 10:39:00;2023-01-01 12:14:00;Machine 6
1;3;2023-01-01 12:34:00;2023-01-01 14:34:00;Machine 5
2;0;2023-01-01 00:00:00;2023-01-01 01:02:00;Machine 2
2;1;2023-01-01 01:02:00;2023-01-01 03:27:00;Machine 7
2;2;2023-01-01 05:00:00;2023-01-01 06:40:00;Machine 5
2;3;2023-01-01 06:40:00;2023-01-01 09:25:00;Machine 8
3;0;2023-01-01 01:02:00;2023-01-01 02:07:00;Machine 2
3;1;2023-01-01 02:07:00;2023-01-01 05:00:00;Machine 5
3;2;2023-01-01 05:00:00;2023-01-01 07:25:00;Machine 4
3;3;2023-01-01 07:49:00;2023-01-01 10:39:00;Machine 6
4;0;2023-01-01 00:00:00;2023-01-01 02:08:00;Machine 1
4;1;2023-01-01 03:27:00;2023-01-01 04:53:00;Machine 7
4;2;2023-01-01 07:02:00;2023-01-01 08:42:00;Machine 2
4;3;2023-01-01 09:25:00;2023-01-01 12:10:00;Machine 8
5;0;2023-01-01 02:07:00;2023-01-01 04:32:00;Machine 2
5;1;2023-01-01 06:09:00;2023-01-01 08:12:00;Machine 3
5;2;2023-01-01 08:12:00;2023-01-01 11:12:00;Machine 7
5;3;2023-01-01 12:15:00;2023-01-01 14:15:00;Machine 4
6;0;2023-01-01 00:00:00;2023-01-01 02:25:00;Machine 3
6;1;2023-01-01 02:25:00;2023-01-01 04:29:00;Machine 3
6;2;2023-01-01 04:53:00;2023-01-01 07:51:00;Machine 7
6;3;2023-01-01 10:14:00;2023-01-01 12:34:00;Machine 5
7;0;2023-01-01 00:00:00;2023-01-01 04:05:00;Machine 4
7;1;2023-01-01 04:05:00;2023-01-01 07:49:00;Machine 6
7;2;2023-01-01 07:49:00;2023-01-01 10:14:00;Machine 5
7;3;2023-01-01 12:02:00;2023-01-01 14:32:00;Machine 7
8;0;2023-01-01 04:32:00;2023-01-01 07:02:00;Machine 2
8;1;2023-01-01 08:12:00;2023-01-01 11:12:00;Machine 3
8;2;2023-01-01 11:12:00;2023-01-01 12:02:00;Machine 7
8;3;2023-01-01 12:14:00;2023-01-01 14:44:00;Machine 6
