Job;Op;Start;Finish;Resource
0;0;2023-01-01 01:27:00;2023-01-01 03:54:00;Machine 1
0;1;2023-01-01 03:54:00;2023-01-01 06:04:00;Machine 2
0;2;2023-01-01 06:04:00;2023-01-01 08:34:00;Machine 4
1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;Machine 3
1;1;2023-01-01 02:30:00;2023-01-01 03:36:00;Machine 2
1;2;2023-01-01 03:58:00;2023-01-01 06:56:00;Machine 5
2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;Machine 1
2;1;2023-01-01 02:30:00;2023-01-01 05:30:00;Machine 3
2;2;2023-01-01 06:56:00;2023-01-01 08:36:00;Machine 5
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;Machine 2
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;Machine 5
3;2;2023-01-01 05:30:00;2023-01-01 07:46:00;Machine 3
