Job;Op;Start;Finish;Resource
0;0;2023-01-01 01:05:00;2023-01-01 03:08:00;Machine 2
0;1;2023-01-01 03:08:00;2023-01-01 05:18:00;Machine 2
0;2;2023-01-01 05:18:00;2023-01-01 07:48:00;Machine 4
1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;Machine 3
1;1;2023-01-01 02:30:00;2023-01-01 03:57:00;Machine 3
1;2;2023-01-01 03:57:00;2023-01-01 05:32:00;Machine 6
2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;Machine 1
2;1;2023-01-01 01:27:00;2023-01-01 03:12:00;Machine 4
2;2;2023-01-01 03:58:00;2023-01-01 05:38:00;Machine 5
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;Machine 2
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;Machine 5
3;2;2023-01-01 05:32:00;2023-01-01 07:48:00;Machine 6
4;0;2023-01-01 01:27:00;2023-01-01 03:35:00;Machine 1
4;1;2023-01-01 03:57:00;2023-01-01 05:23:00;Machine 3
4;2;2023-01-01 05:38:00;2023-01-01 07:28:00;Machine 5
