Job;Op;Start;Finish;Resource
0;0;2023-01-01 00:00:00;2023-01-01 01:40:00;Machine 3
0;1;2023-01-01 03:52:00;2023-01-01 05:55:00;Machine 7
0;2;2023-01-01 06:30:00;2023-01-01 09:00:00;Machine 4
1;0;2023-01-01 01:27:00;2023-01-01 05:01:00;Machine 1
1;1;2023-01-01 05:33:00;2023-01-01 06:39:00;Machine 2
1;2;2023-01-01 07:21:00;2023-01-01 09:51:00;Machine 7
2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;Machine 1
2;1;2023-01-01 01:27:00;2023-01-01 03:52:00;Machine 7
2;2;2023-01-01 03:58:00;2023-01-01 05:38:00;Machine 5
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;Machine 2
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;Machine 5
3;2;2023-01-01 04:05:00;2023-01-01 06:30:00;Machine 4
4;0;2023-01-01 03:30:00;2023-01-01 05:33:00;Machine 2
4;1;2023-01-01 05:55:00;2023-01-01 07:21:00;Machine 7
4;2;2023-01-01 07:21:00;2023-01-01 09:01:00;Machine 2
5;0;2023-01-01 01:05:00;2023-01-01 03:30:00;Machine 2
5;1;2023-01-01 06:31:00;2023-01-01 08:34:00;Machine 3
5;2;2023-01-01 08:34:00;2023-01-01 10:34:00;Machine 5
6;0;2023-01-01 01:40:00;2023-01-01 04:05:00;Machine 3
6;1;2023-01-01 04:05:00;2023-01-01 06:09:00;Machine 3
6;2;2023-01-01 06:09:00;2023-01-01 08:34:00;Machine 5
7;0;2023-01-01 00:00:00;2023-01-01 04:05:00;Machine 4
7;1;2023-01-01 04:05:00;2023-01-01 07:49:00;Machine 6
7;2;2023-01-01 07:49:00;2023-01-01 10:34:00;Machine 6
