Job;Op;Start;Finish;Resource
0;0;2023-01-01 00:00:00;2023-01-01 01:40:00;Machine 3
0;1;2023-01-01 03:05:00;2023-01-01 05:15:00;Machine 2
0;2;2023-01-01 05:15:00;2023-01-01 07:45:00;Machine 4
1;0;2023-01-01 01:27:00;2023-01-01 05:01:00;Machine 1
1;1;2023-01-01 05:15:00;2023-01-01 06:21:00;Machine 2
1;2;2023-01-01 06:36:00;2023-01-01 08:11:00;Machine 6
2;0;2023-01-01 00:00:00;2023-01-01 01:02:00;Machine 2
2;1;2023-01-01 01:02:00;2023-01-01 03:27:00;Machine 7
2;2;2023-01-01 04:20:00;2023-01-01 06:00:00;Machine 5
3;0;2023-01-01 00:00:00;2023-01-01 01:27:00;Machine 1
3;1;2023-01-01 01:27:00;2023-01-01 04:20:00;Machine 5
3;2;2023-01-01 04:20:00;2023-01-01 06:36:00;Machine 6
4;0;2023-01-01 01:02:00;2023-01-01 03:05:00;Machine 2
4;1;2023-01-01 03:27:00;2023-01-01 04:53:00;Machine 7
4;2;2023-01-01 06:21:00;2023-01-01 08:01:00;Machine 2
5;0;2023-01-01 00:00:00;2023-01-01 02:34:00;Machine 4
5;1;2023-01-01 02:34:00;2023-01-01 05:04:00;Machine 4
5;2;2023-01-01 05:04:00;2023-01-01 08:04:00;Machine 7
6;0;2023-01-01 01:40:00;2023-01-01 04:05:00;Machine 3
6;1;2023-01-01 04:05:00;2023-01-01 06:09:00;Machine 3
6;2;2023-01-01 06:09:00;2023-01-01 08:34:00;Machine 5
