instance;status;obj;model time;total time
Fattahi_setup_01;2;66.0;0.004000186920166016;1.3158867359161377
Fattahi_setup_02;2;107.0;0.002000093460083008;0.09218525886535645
Fattahi_setup_03;2;221.0;0.019999980926513672;0.11339426040649414
Fattahi_setup_04;2;355.0;0.007999897003173828;0.10815119743347168
Fattahi_setup_05;2;119.0;0.026000022888183594;0.11525583267211914
Fattahi_setup_06;2;320.0;0.005000114440917969;0.09718513488769531
Fattahi_setup_07;2;397.0;0.002000093460083008;0.10519647598266602
Fattahi_setup_08;2;253.0;0.023000001907348633;0.11177492141723633
Fattahi_setup_09;2;210.0;0.003999948501586914;0.10008597373962402
Fattahi_setup_10;2;516.0;0.012000083923339844;0.1497490406036377
Fattahi_setup_11;2;468.0;0.0970001220703125;0.2099611759185791
Fattahi_setup_12;2;446.0;0.14300012588500977;0.2559473514556885
Fattahi_setup_13;2;466.0;0.4789998531341553;0.6081669330596924
Fattahi_setup_14;2;554.0;3.4149999618530273;3.5481085777282715
Fattahi_setup_15;2;514.0;0.4479999542236328;0.5834634304046631
Fattahi_setup_16;2;634.0;3.6610000133514404;3.805772542953491
Fattahi_setup_17;2;879.0;9.986000061035156;10.167161464691162
Fattahi_setup_18;2;884.0;355.5529999732971;355.75430607795715
Fattahi_setup_19;11;1058.9999998939998;3894.4049999713898;3894.479858636856
