Job;Op;Start;Finish;Resource
0;0;2023-01-01 00:00:00;2023-01-01 04:07:00;Machine 1
0;1;2023-01-01 04:10:00;2023-01-01 06:20:00;Machine 2
0;2;2023-01-01 06:20:00;2023-01-01 08:50:00;Machine 4
1;0;2023-01-01 02:25:00;2023-01-01 04:55:00;Machine 3
1;1;2023-01-01 06:33:00;2023-01-01 07:39:00;Machine 2
1;2;2023-01-01 07:39:00;2023-01-01 09:14:00;Machine 6
2;0;2023-01-01 01:05:00;2023-01-01 02:07:00;Machine 2
2;1;2023-01-01 02:07:00;2023-01-01 04:32:00;Machine 7
2;2;2023-01-01 04:57:00;2023-01-01 06:37:00;Machine 5
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;Machine 2
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;Machine 5
3;2;2023-01-01 03:58:00;2023-01-01 06:14:00;Machine 6
4;0;2023-01-01 02:07:00;2023-01-01 04:10:00;Machine 2
4;1;2023-01-01 04:10:00;2023-01-01 04:57:00;Machine 5
4;2;2023-01-01 06:14:00;2023-01-01 07:39:00;Machine 6
5;0;2023-01-01 00:00:00;2023-01-01 02:34:00;Machine 4
5;1;2023-01-01 04:55:00;2023-01-01 06:58:00;Machine 3
5;2;2023-01-01 06:58:00;2023-01-01 08:58:00;Machine 5
6;0;2023-01-01 00:00:00;2023-01-01 02:25:00;Machine 3
6;1;2023-01-01 02:34:00;2023-01-01 05:22:00;Machine 4
6;2;2023-01-01 05:22:00;2023-01-01 08:20:00;Machine 7
